index,links,pincode,bedrooms,bathroom,parking,furniture,carpet_area_sqft,agent,transaction_type,property_type,price,Latitude,Longitude,location,location_with_pincode
4209,https://www.magicbricks.com/propertyDetails/1-BHK-662-Sq-ft-Multistorey-Apartment-FOR-Sale-Beverly-Park-in-Mumbai&id=4d423638313434343131,401107,1,1,No covered parking,unfurnished,662,Not certified,Resale,Apartment,5750000,19.2836,72.8675,Mira,Mira - 401107
4210,https://www.magicbricks.com/propertyDetails/1-BHK-575-Sq-ft-Multistorey-Apartment-FOR-Sale-Powai-in-Mumbai&id=4d423638313434343237,400076,1,1,No covered parking,unfurnished,575,Not certified,Resale,Apartment,12500000,19.0737,72.9009,Powai Iit,Powai Iit - 400076
4211,https://www.magicbricks.com/propertyDetails/1-BHK-550-Sq-ft-Multistorey-Apartment-FOR-Sale-Powai-in-Mumbai&id=4d423638313434343239,400076,1,1,No covered parking,semi-furnished,550,Not certified,Resale,Apartment,12500000,19.0737,72.9009,Powai Iit,Powai Iit - 400076
4212,https://www.magicbricks.com/propertyDetails/1-BHK-595-Sq-ft-Multistorey-Apartment-FOR-Sale-Malad-West-in-Mumbai&id=4d423638313434343337,400095,1,2,No covered parking,unfurnished,595,Not certified,Resale,Apartment,9100000,19.2355,72.8468,Kharodi,Kharodi - 400095
4213,https://www.magicbricks.com/propertyDetails/1-BHK-595-Sq-ft-Multistorey-Apartment-FOR-Sale-Malad-West-in-Mumbai&id=4d423638313434343431,400095,1,1,No covered parking,unfurnished,595,Not certified,Resale,Apartment,9200000,19.2355,72.8468,Kharodi,Kharodi - 400095
4214,https://www.magicbricks.com/propertyDetails/1-BHK-650-Sq-ft-Multistorey-Apartment-FOR-Sale-Chembur-in-Mumbai&id=4d423533303635363535,400071,1,2,covered parking,semi-furnished,650,Not certified,Resale,Apartment,11500000,19.0348,72.8929,Chembur,Chembur - 400071
4215,https://www.magicbricks.com/propertyDetails/1-BHK-710-Sq-ft-Multistorey-Apartment-FOR-Sale-Virar-in-Mumbai&id=4d423638313434373331,401303,1,2,No covered parking,semi-furnished,710,Not certified,Resale,Apartment,3400000,20.5196,73.09731000000001,Tilher,Tilher - 401303
4216,https://www.magicbricks.com/propertyDetails/1-BHK-710-Sq-ft-Multistorey-Apartment-FOR-Sale-Virar-in-Mumbai&id=4d423638313434373333,401303,1,1,No covered parking,unfurnished,710,Not certified,Resale,Apartment,3500000,20.5196,73.09731000000001,Tilher,Tilher - 401303
4217,https://www.magicbricks.com/propertyDetails/2-BHK-1325-Sq-ft-Multistorey-Apartment-FOR-Sale-Andheri-East-in-Mumbai&id=4d423638313430343737,400069,2,3,covered parking,semi-furnished,818,Not certified,Resale,Apartment,35000000,19.1145,72.8712,Nagardas Road,Nagardas Road - 400069
4218,https://www.magicbricks.com/propertyDetails/2-BHK-825-Sq-ft-Multistorey-Apartment-FOR-Sale-Nalasopara-in-Mumbai&id=4d423636313437333533,401203,2,2,No covered parking,furnished,500,Not certified,Resale,Apartment,3500000,20.498275,73.4301,Nala,Nala - 401203
